VALUE,geometry,idx,lon,lat
104899,POINT (44.12499666666668 9.4),7926,44.124996666666675,9.4
14969,POINT (45.64999666666667 9.4),7927,45.649996666666674,9.4
2234,POINT (47.00833000000001 9.4),7928,47.00833000000001,9.4
11985,POINT (47.52499666666667 9.4),7929,47.524996666666674,9.4
44139,POINT (44.12499666666668 9.391666666666667),7930,44.124996666666675,9.391666666666667
102844,POINT (45.24166333333334 9.391666666666667),7931,45.241663333333335,9.391666666666667
726,POINT (47.00833000000001 9.391666666666667),7932,47.00833000000001,9.391666666666667
414,POINT (47.52499666666667 9.391666666666667),7933,47.524996666666674,9.391666666666667
566160,POINT (43.54166333333334 9.383333333333333),7934,43.54166333333334,9.383333333333333
11982,POINT (45.73333 9.383333333333333),7935,45.73333,9.383333333333333
26848,POINT (45.73333 9.375),7936,45.73333,9.375
30122,POINT (45.74166333333334 9.375),7937,45.741663333333335,9.375
44211,POINT (47.29999666666667 9.375),7938,47.29999666666667,9.375
4445,POINT (47.49999666666668 9.375),7939,47.499996666666675,9.375
115088,POINT (47.50833000000001 9.375),7940,47.50833000000001,9.375
115088,POINT (47.51666333333334 9.375),7941,47.51666333333334,9.375
46727,POINT (47.29166333333334 9.366666666666667),7942,47.29166333333334,9.366666666666667
858169,POINT (47.29999666666667 9.366666666666667),7943,47.29999666666667,9.366666666666667
72824,POINT (47.50833000000001 9.366666666666667),7944,47.50833000000001,9.366666666666667
12828,POINT (47.58333 9.366666666666667),7945,47.583330000000004,9.366666666666667
50342,POINT (47.59166333333334 9.366666666666667),7946,47.59166333333334,9.366666666666667
7060,POINT (48.09166333333334 9.366666666666667),7947,48.09166333333334,9.366666666666667
52132,POINT (43.92499666666667 9.358333333333334),7948,43.92499666666667,9.358333333333334
52132,POINT (43.93333000000001 9.358333333333334),7949,43.933330000000005,9.358333333333334
89036,POINT (47.29166333333334 9.358333333333334),7950,47.29166333333334,9.358333333333334
229840,POINT (47.29999666666667 9.358333333333334),7951,47.29999666666667,9.358333333333334
5567,POINT (47.34999666666667 9.358333333333334),7952,47.34999666666667,9.358333333333334
9753,POINT (47.55833000000001 9.358333333333334),7953,47.558330000000005,9.358333333333334
8286,POINT (47.56666333333334 9.358333333333334),7954,47.56666333333334,9.358333333333334
8286,POINT (47.57499666666667 9.358333333333334),7955,47.57499666666667,9.358333333333334
10063,POINT (48.16666333333334 9.358333333333334),7956,48.16666333333334,9.358333333333334
5825,POINT (43.92499666666667 9.350000000000001),7957,43.92499666666667,9.350000000000001
5825,POINT (43.93333000000001 9.350000000000001),7958,43.933330000000005,9.350000000000001
441650,POINT (45.79999666666667 9.350000000000001),7959,45.79999666666667,9.350000000000001
28653,POINT (47.11666333333334 9.350000000000001),7960,47.116663333333335,9.350000000000001
2584,POINT (47.12499666666668 9.350000000000001),7961,47.124996666666675,9.350000000000001
27633,POINT (47.27499666666667 9.350000000000001),7962,47.274996666666674,9.350000000000001
27633,POINT (47.28333000000001 9.350000000000001),7963,47.28333000000001,9.350000000000001
7029,POINT (47.29166333333334 9.350000000000001),7964,47.29166333333334,9.350000000000001
8250,POINT (48.08333 9.350000000000001),7965,48.083330000000004,9.350000000000001
3172,POINT (48.16666333333334 9.350000000000001),7966,48.16666333333334,9.350000000000001
158738,POINT (47.11666333333334 9.341666666666667),7967,47.116663333333335,9.341666666666667
18907,POINT (47.12499666666668 9.341666666666667),7968,47.124996666666675,9.341666666666667
166048,POINT (47.26666333333334 9.341666666666667),7969,47.26666333333334,9.341666666666667
420614,POINT (47.27499666666667 9.341666666666667),7970,47.274996666666674,9.341666666666667
23703,POINT (47.28333000000001 9.341666666666667),7971,47.28333000000001,9.341666666666667
23703,POINT (47.29166333333334 9.341666666666667),7972,47.29166333333334,9.341666666666667
3580,POINT (47.29999666666667 9.341666666666667),7973,47.29999666666667,9.341666666666667
2426,POINT (47.64999666666667 9.341666666666667),7974,47.649996666666674,9.341666666666667
68685,POINT (47.26666333333334 9.333333333333334),7975,47.26666333333334,9.333333333333334
64705,POINT (47.27499666666667 9.333333333333334),7976,47.274996666666674,9.333333333333334
4275,POINT (47.28333000000001 9.333333333333334),7977,47.28333000000001,9.333333333333334
4275,POINT (47.29166333333334 9.333333333333334),7978,47.29166333333334,9.333333333333334
19210,POINT (48.19166333333334 9.333333333333334),7979,48.19166333333334,9.333333333333334
758,POINT (46.96666333333334 9.325000000000001),7980,46.96666333333334,9.325000000000001
4757,POINT (46.98333000000001 9.325000000000001),7981,46.98333000000001,9.325000000000001
19213,POINT (47.25833000000001 9.325000000000001),7982,47.25833000000001,9.325000000000001
12509,POINT (47.27499666666667 9.325000000000001),7983,47.274996666666674,9.325000000000001
13417,POINT (48.19999666666667 9.325000000000001),7984,48.19999666666667,9.325000000000001
1471,POINT (46.97499666666667 9.316666666666666),7985,46.97499666666667,9.316666666666666
58327,POINT (46.98333000000001 9.316666666666666),7986,46.98333000000001,9.316666666666666
148179,POINT (47.27499666666667 9.316666666666666),7987,47.274996666666674,9.316666666666666
13844,POINT (47.53333000000001 9.316666666666666),7988,47.53333000000001,9.316666666666666
13844,POINT (47.54166333333334 9.316666666666666),7989,47.54166333333334,9.316666666666666
12980,POINT (47.54999666666667 9.316666666666666),7990,47.54999666666667,9.316666666666666
8981,POINT (47.55833000000001 9.316666666666666),7991,47.558330000000005,9.316666666666666
8469,POINT (48.72499666666667 9.316666666666666),7992,48.72499666666667,9.316666666666666
1248,POINT (46.97499666666667 9.308333333333334),7993,46.97499666666667,9.308333333333334
3693,POINT (47.26666333333334 9.308333333333334),7994,47.26666333333334,9.308333333333334
135176,POINT (47.27499666666667 9.308333333333334),7995,47.274996666666674,9.308333333333334
18918,POINT (48.26666333333334 9.308333333333334),7996,48.26666333333334,9.308333333333334
18918,POINT (48.27499666666667 9.308333333333334),7997,48.274996666666674,9.308333333333334
4187,POINT (47.46666333333334 9.300000000000001),7998,47.46666333333334,9.3
4170,POINT (47.48333000000001 9.300000000000001),7999,47.48333000000001,9.3
4546,POINT (48.44166333333334 9.300000000000001),8000,48.44166333333334,9.3
11288,POINT (46.24999666666668 9.291666666666668),8001,46.249996666666675,9.291666666666668
1223,POINT (47.46666333333334 9.291666666666668),8002,47.46666333333334,9.291666666666668
11924,POINT (47.48333000000001 9.291666666666668),8003,47.48333000000001,9.291666666666668
40331,POINT (48.44166333333334 9.291666666666668),8004,48.44166333333334,9.291666666666668
49520,POINT (44.09999666666667 9.283333333333333),8005,44.09999666666667,9.283333333333333
49520,POINT (44.10833 9.283333333333333),8006,44.10833,9.283333333333333
51396,POINT (46.24999666666668 9.283333333333333),8007,46.249996666666675,9.283333333333333
5479,POINT (47.49999666666668 9.283333333333333),8008,47.499996666666675,9.283333333333333
5479,POINT (47.50833000000001 9.283333333333333),8009,47.50833000000001,9.283333333333333
9470,POINT (47.51666333333334 9.283333333333333),8010,47.51666333333334,9.283333333333333
1331,POINT (47.52499666666667 9.283333333333333),8011,47.524996666666674,9.283333333333333
5085,POINT (48.06666333333334 9.283333333333333),8012,48.06666333333334,9.283333333333333
22915,POINT (48.07499666666667 9.283333333333333),8013,48.07499666666667,9.283333333333333
2845,POINT (48.13333000000001 9.283333333333333),8014,48.13333000000001,9.283333333333333
2845,POINT (48.14166333333334 9.283333333333333),8015,48.14166333333334,9.283333333333333
2504,POINT (48.14999666666667 9.283333333333333),8016,48.149996666666674,9.283333333333333
57113,POINT (45.40833000000001 9.275),8017,45.40833000000001,9.275
1350,POINT (46.37499666666668 9.275),8018,46.374996666666675,9.275
11094,POINT (47.46666333333334 9.275),8019,47.46666333333334,9.275
165,POINT (47.49166333333334 9.275),8020,47.491663333333335,9.275
28107,POINT (47.49999666666668 9.275),8021,47.499996666666675,9.275
28107,POINT (47.50833000000001 9.275),8022,47.50833000000001,9.275
4370,POINT (47.51666333333334 9.275),8023,47.51666333333334,9.275
3156,POINT (47.54166333333334 9.275),8024,47.54166333333334,9.275
908,POINT (48.07499666666667 9.275),8025,48.07499666666667,9.275
774,POINT (46.37499666666668 9.266666666666667),8026,46.374996666666675,9.266666666666667
1772,POINT (47.49166333333334 9.266666666666667),8027,47.491663333333335,9.266666666666667
245,POINT (47.49999666666668 9.266666666666667),8028,47.499996666666675,9.266666666666667
2944,POINT (47.50833000000001 9.266666666666667),8029,47.50833000000001,9.266666666666667
